genome,species,sample,group,abundance,rank
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM67UH7,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM6J2H9_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM79HGR_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM79HGV_P,control,0.000167588,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM79HOV,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM79HOX,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM79HP2,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM79HP6,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM7CZ2F_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM7KOOJ,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM7KOOL,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM7KOON,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSM7KOOP,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSMA8M9R,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSMAAEUA,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSMAE44D,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,CSMAHYLR,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,ESM5GEYU_P,control,0.001021688,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,ESM5GEZ1_P,control,0.000157934,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,ESM5GEZ3_P,control,0.000198327,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,ESM5ME9H_P,control,0.000231366,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,ESM5MEBP_P,control,0.000242399,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD57_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD59_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD5B_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD5D_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD5F_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD5Z_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD6E_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD6I_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD6K_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD6M,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD6O_P,control,5.60E-05,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD6Q,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD6S_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD6U_P,control,7.76E-05,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD82_P,control,5.23E-05,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD8A_P,control,7.22E-05,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD8D_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD8H_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD8L_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD8N_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM5MD8P_P,control,5.41E-05,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM67VDR_P,control,6.78E-05,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM67VDT,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM67VDT_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM67VDX_P,control,4.10E-05,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM67VEQ,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM67VEW,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM67VFX,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM67VFX_P,control,0,1
GCA_016902195,Anaerotignum lactatifermentans_A GCA_016902195,HSM67VG2_P,control,0.000333502,1
